"Bill No","Date","Barcode","Item Name","Qty","Rate","Amount","Tax Amt","Net Amount"
35994,2022-07-01,"8906065450038","GONE MAD","7",5,29.66,5.34,35
35995,2022-07-01,"8903183300092","CLASSMATE OCTANE GEL PEN 10","1",10,8.47,1.53,10
35996,2022-07-01,"1116","QMILK 500ML","2",22,44,0,44
35997,2022-07-01,"22562","X1JUICECUP","4",1,4,0,4
35997,2022-07-01,"44958","X10 PAKKU PLATE","3",10,28.57,1.43,30
35998,2022-07-01,"39157","X5 MASK","2",5,9.52,0.48,10
36001,2022-07-01,"22588","X1 OFFICE COVER","4",1,3.39,0.61,4
36002,2022-07-01,"11944","P HYDRA GEL FLAIR PEN 5","1",5,4.46,0.54,5
36002,2022-07-01,"45908","O BIKE ROPE 30","2",25,50,0,50
36004,2022-07-01,"44944","X22 DURACELL AA CHHOTA POWER 22","3",20,50.85,9.15,60
36005,2022-07-01,"1116","QMILK 500ML","4",22,88,0,88
36006,2022-07-01,"1116","QMILK 500ML","1",22,22,0,22
36007,2022-07-01,"7929","Y POTATO 1 KG","1.000",38,38,0,38
36007,2022-07-01,"7930","Y TOMATO 1KG",".263",26,6.84,0,6.84
36007,2022-07-01,"2137","Y PUNDU 1KG",".086",100,8.6,0,8.6
36007,2022-07-01,"7931","Y CHILLI GREEN 1 KG",".036",80,2.88,0,2.88
36007,2022-07-01,"7938","Y GINGER 1 KG",".022",100,2.2,0,2.2
36007,2022-07-01,"7925","Y LEMON FRUIT 1 NO","2",4,8,0,8
36007,2022-07-01,"42859","Q RICE KARNATAKA PONNI 1KG","2",47,94,0,94
36008,2022-07-01,"7622201138455","CADBURY TEMPTATIONS ALMOND TREAT 72G 100","1",100,83.05,14.95,98
36008,2022-07-01,"28488","X20 GIFT COVER","1",20,20,0,20
36009,2022-07-01,"7928","Y ONION 1 KG",".326",28,9.13,0,9.13
36009,2022-07-01,"7930","Y TOMATO 1KG",".310",26,8.06,0,8.06
36009,2022-07-01,"7931","Y CHILLI GREEN 1 KG",".010",80,0.8,0,0.8
36010,2022-07-01,"884851017567","P ENERGEL BLUE 0.7 PENTEL PEN","1",30,26.79,3.21,30
36010,2022-07-01,"8901765011817","PR PENTEL LR7 PENTEL REFILL","1",20,17.86,2.14,20
36014,2022-07-01,"4005808231423","NIVEA MEN DARK SPOT FACE WASH 50 G 99","1",110,90.42,16.28,106.7
36015,2022-07-01,"8906080601774","PAPER BOAT SLURPY MANGO 150ML 10","1",10,8.93,1.07,10
36015,2022-07-01,"40935","X RASNA","1",10,10,0,10
36016,2022-07-01,"30876","X5 CAMLIN 0.5MM LEAD","3",5,13.39,1.61,15
36018,2022-07-01,"1326","Q BADAM 25 G","1",22,22,0,22
36019,2022-07-01,"8902042163694","AVT GOLD CUP PREMIUM DUST TEA 100 G","1",80,77.6,0,77.6
36020,2022-07-01,"8904083306023","MILKYMIST CURD 500G 40","1",44,44,0,44
36020,2022-07-01,"1543","RS5","1.000",5,5,0,5
36020,2022-07-01,"8901786330508","EVEREST WHITE PAPPER 50G 105","1",95,87.76,4.39,92.15
36023,2022-07-01,"23955","Q KARA AVUL 200G","1",16,16,0,16
36023,2022-07-01,"8901052005611","TATA CHAKRA GOLD CARE 10","2",10,19.05,0.95,20
36023,2022-07-01,"0664","Q SUGAR 500 G","2",20,40,0,40
36024,2022-07-01,"8901396153900","HARPIC BATHROOM CLEANING SPRAY 400ML","1",149,122.48,22.05,144.53
