"Bill No","Date","Barcode","Item Name","Qty","Rate","Amount","Tax Amt","Net Amount"
24064,2022-06-01,"8901058902860","MAGGI 2-MINUTE NOODLES VEGGIE MASALA 62G","2",14,25,3,28
24065,2022-06-01,"8901030834653","AXE SIGNATURE 210","1",210,172.63,31.07,203.7
24066,2022-06-01,"2589","X25 SPENCERS SLICED SWEET BREAD 200G","1",25,25,0,25
24067,2022-06-01,"8902080000227","STING ENERGY DRINK SOFT DRINKS 250ML 20","1",20,15.63,4.37,20
24071,2022-06-01,"34845","X12 CLOTH BAG","1",10,10,0,10
24072,2022-06-01,"8904057301467","A 50 ARUN BUTTERSCOTCH","1",50,42.37,7.63,50
24072,2022-06-01,"8904057301498","ARUN VANILLA ICECREAM CONE100ML 50","1",50,42.37,7.63,50
24072,2022-06-01,"8901058852165","NESTLE KITKAT TRUFFLE 50G CHOCOLATE 50","1",65,53.98,9.72,63.7
24072,2022-06-01,"8901491103442","KURKURE NAUGHTY TOMATO 90G CHIPS 20","1",20,17.5,2.1,19.6
24073,2022-06-01,"37771","Q PISTA 25G","1",30,30,0,30
24073,2022-06-01,"8901058144345","NESTLE KITKAT CHOCOLATE 20","1",20,16.95,3.05,20
24075,2022-06-01,"29885","X3 WILKINSON BLADE 3","1",3,3,0,3
24075,2022-06-01,"8901030794599","DOVE INTENSE REPAIR SHAMPOO 8ML 4","1",4,3.39,0.61,4
24075,2022-06-01,"8901030794575","DOVE DAILY SHINE SHAMPOO 8 ML 4","3",4,10.17,1.83,12
24075,2022-06-01,"12535","O KEYCHAIN 15","1",15,15,0,15
24075,2022-06-01,"22601","X5 TAPE","1",5,4.24,0.76,5
24075,2022-06-01,"8901030794582","DOVE 8ML SHAMPOO 4","1",4,3.39,0.61,4
24075,2022-06-01,"22589","X5 OFFICE CLOTH COVER","1",4,3.39,0.61,4
24075,2022-06-01,"35773","XOFFICECOVER6","1",6,5.08,0.92,6
24075,2022-06-01,"45230","CELLO WATER BOTTLE 60","1",60,50.85,9.15,60
24079,2022-06-01,"8901063017481","BRITANNIA 5050 MASKA CHASKA 45G 10","3",10,25.42,4.58,30
24081,2022-06-01,"25297","ASHOK 192P BOUND UR LONG NOTE","1",40,40,0,40
24081,2022-06-01,"8901012155028","JOHNSONS 30N BUDS 50","1",50,43.3,5.2,48.5
24081,2022-06-01,"8901571006885","ENO ORANGE FRUIT SALT 5G MEDICINE 9","4",9,32.14,3.86,36
24081,2022-06-01,"8901571006878","ENO COLA 5G MEDICINE 8","2",9,16.07,1.93,18
24081,2022-06-01,"8901571006854","ENO LEMON FLAVOUR 5G MEDICINE 9","2",9,16.07,1.93,18
24081,2022-06-01,"8908000034334","DOMS SCALE 15CM","1",5,4.46,0.54,5
24081,2022-06-01,"8903183100265","CLASSMATE SCALE 15 CM 5","1",5,4.46,0.54,5
24081,2022-06-01,"8901860633037","FEVI GUM LIME 22.5ML 5","1",5,4.24,0.76,5
24081,2022-06-01,"15635","P NATARAJ 621 HB PENCIL 4","1",4,3.57,0.43,4
24081,2022-06-01,"4005645456447","PENCIL SHAPENER NO3685","1",200,200,0,200
